pointid,grid_code,POINT_X,POINT_Y
263,-4991.1000977,-103.967433356190440,31.906154229837512
264,-4991.1000977,-103.962519779504305,31.906154229837512
265,-5018.8369141,-103.957606202818056,31.906154229837512
266,-5018.8369141,-103.952692626131807,31.906154229837512
267,-5039.2583008,-103.947779049445501,31.906154229837512
268,-5039.2583008,-103.942865472759365,31.906154229837512
269,-5063.6425781,-103.937951896073116,31.906154229837512
270,-5063.6425781,-103.933038319386867,31.906154229837512
271,-5063.6425781,-103.928124742700618,31.906154229837512
272,-5089.2456055,-103.923211166014312,31.906154229837512
273,-5100.2182617,-103.918297589328176,31.906154229837512
274,-5127.3457031,-103.913384012641927,31.906154229837512
275,-5127.3457031,-103.908470435955678,31.906154229837512
276,-5155.0825195,-103.903556859269429,31.906154229837512
277,-5155.0825195,-103.898643282583123,31.906154229837512
278,-5182.2094727,-103.893729705897044,31.906154229837512
279,-5182.2094727,-103.888816129210795,31.906154229837512
280,-5205.3745117,-103.883902552524489,31.906154229837512
281,-5205.3745117,-103.878988975838240,31.906154229837512
282,-5228.5390625,-103.874075399152105,31.906154229837512
283,-5228.5390625,-103.869161822465855,31.906154229837512
284,-5228.5390625,-103.864248245779606,31.906154229837512
285,-5252.3134766,-103.859334669093300,31.906154229837512
286,-5252.3134766,-103.854421092407165,31.906154229837512
287,-5276.0878906,-103.849507515720916,31.906154229837512
288,-5276.0878906,-103.844593939034667,31.906154229837512
289,-5299.5576172,-103.839680362348417,31.906154229837512
290,-5299.5576172,-103.834766785662111,31.906154229837512
291,-5322.7226562,-103.829853208976033,31.906154229837512
292,-5322.7226562,-103.824939632289784,31.906154229837512
293,-5342.2294922,-103.820026055603478,31.906154229837512
294,-5342.2294922,-103.815112478917229,31.906154229837512
295,-5357.4697266,-103.810198902230979,31.906154229837512
296,-5357.4697266,-103.805285325544844,31.906154229837512
297,-5372.1000977,-103.800371748858595,31.906154229837512
298,-5372.1000977,-103.795458172172289,31.906154229837512
299,-5372.1000977,-103.790544595486153,31.906154229837512
300,-5385.2065430,-103.785631018799904,31.906154229837512
301,-5385.2065430,-103.780717442113655,31.906154229837512
302,-5397.0937500,-103.775803865427406,31.906154229837512
303,-5397.0937500,-103.770890288741100,31.906154229837512
304,-5407.7617188,-103.765976712054965,31.906154229837512
305,-5407.7617188,-103.761063135368772,31.906154229837512
306,-5417.2104492,-103.756149558682466,31.906154229837512
307,-5417.2104492,-103.751235981996217,31.906154229837512
308,-5425.7446289,-103.746322405309968,31.906154229837512
309,-5425.7446289,-103.741408828623833,31.906154229837512
310,-5433.6694336,-103.736495251937583,31.906154229837512
311,-5452.2626953,-103.731581675251277,31.906154229837512
312,-5459.8823242,-103.726668098565142,31.906154229837512
313,-5459.8823242,-103.721754521878893,31.906154229837512
314,-5459.8823242,-103.716840945192644,31.906154229837512
315,-5467.5024414,-103.711927368506394,31.906154229837512
316,-5467.5024414,-103.707013791820088,31.906154229837512
317,-5476.0371094,-103.702100215133953,31.906154229837512
318,-5476.0371094,-103.697186638447704,31.906154229837512
319,-5485.1806641,-103.692273061761455,31.906154229837512
320,-1487.7287598,-104.704469859125425,31.901240653151376
321,-1544.4216309,-104.699556282439175,31.901240653151376
322,-1544.4216309,-104.694642705752869,31.901240653151376
323,-1544.4216309,-104.689729129066620,31.901240653151376
324,-1657.5024414,-104.684815552380371,31.901240653151376
325,-1674.8759766,-104.679901975694236,31.901240653151376
326,-1735.8360596,-104.674988399007987,31.901240653151376
327,-1735.8360596,-104.670074822321737,31.901240653151376
328,-1794.3576660,-104.665161245635545,31.901240653151376
329,-1794.3576660,-104.660247668949296,31.901240653151376
330,-1857.7559814,-104.655334092263047,31.901240653151376
331,-1857.7559814,-104.650420515576798,31.901240653151376
332,-1922.9832764,-104.645506938890549,31.901240653151376
333,-1922.9832764,-104.640593362204243,31.901240653151376
334,-1985.1624756,-104.635679785518164,31.901240653151376
335,-1985.1624756,-104.630766208831858,31.901240653151376
336,-1985.1624756,-104.625852632145609,31.901240653151376
337,-2039.7216797,-104.620939055459360,31.901240653151376
338,-2039.7216797,-104.616025478773224,31.901240653151376
339,-2094.8903809,-104.611111902086975,31.901240653151376
340,-2094.8903809,-104.606198325400726,31.901240653151376
341,-2146.0969238,-104.601284748714534,31.901240653151376
342,-2146.0969238,-104.596371172028284,31.901240653151376
343,-2187.5495605,-104.591457595342035,31.901240653151376
